Date,Close,Volume
24/10/2014,16.719999,41951400
23/10/2014,16.6,68436600
22/10/2014,16.4,85199800
21/10/2014,16.6,78287300
20/10/2014,16.26,76510700
17/10/2014,16.209999,94339200
16/10/2014,16.08,148199400
15/10/2014,15.76,216591800
14/10/2014,16.52,97451900
13/10/2014,16.4,92674100
10/10/2014,16.48,129552700
09/10/2014,16.59,121363100
08/10/2014,17.120001,101266800
07/10/2014,16.879999,91396300
06/10/2014,17.290001,66212100
03/10/2014,17.290001,110840600
02/10/2014,16.879999,118018800
01/10/2014,16.82,91235900
30/09/2014,17.049999,82217400
29/09/2014,17.01,68038300
26/09/2014,17.030001,66785900
25/09/2014,16.85,104522500
24/09/2014,17.18,86396100
23/09/2014,17.049999,91921900
22/09/2014,17.030001,109276700
19/09/2014,16.950001,88455000
18/09/2014,17.040001,111923200
17/09/2014,16.77,82902700
16/09/2014,16.709999,65017200
15/09/2014,16.74,87306900
12/09/2014,16.790001,117118300
11/09/2014,16.57,106598100
10/09/2014,16.360001,75656100
09/09/2014,16.139999,82428900
08/09/2014,16.35,99411200
05/09/2014,16.02,80974900
04/09/2014,16.110001,56378600
03/09/2014,16.1,67418900
02/09/2014,16.27,59400400
29/08/2014,16.09,50106600
28/08/2014,16.01,62170400
27/08/2014,16.200001,63061800
26/08/2014,16.33,73323400
25/08/2014,16.290001,89396500
22/08/2014,16.129999,107641800
21/08/2014,16.16,177294400
20/08/2014,15.52,57825000
19/08/2014,15.45,44825500
18/08/2014,15.45,54968600
15/08/2014,15.22,61535500
14/08/2014,15.32,29934600
13/08/2014,15.25,34394600
12/08/2014,15.21,33674400
11/08/2014,15.22,41545100
08/08/2014,15.2,54495000
07/08/2014,15.12,80058300
06/08/2014,15.2,95977900
05/08/2014,15,65071500
04/08/2014,15.05,51954700
01/08/2014,14.98,115978900
31/07/2014,15.25,70677300
30/07/2014,15.58,83243100
29/07/2014,15.34,51480500
28/07/2014,15.5,39313000
25/07/2014,15.59,35627200
24/07/2014,15.62,46549800
23/07/2014,15.52,47253300
22/07/2014,15.52,58331100
21/07/2014,15.52,61802200
18/07/2014,15.49,74859200
17/07/2014,15.2,114839900
16/07/2014,15.51,123897400
15/07/2014,15.81,99946700
14/07/2014,15.57,59181700
11/07/2014,15.38,56849400
10/07/2014,15.44,61458500
09/07/2014,15.6,46415800
08/07/2014,15.58,73343400
07/07/2014,15.94,62437100
03/07/2014,16.030001,70582300
02/07/2014,15.85,87685800
01/07/2014,15.6,74193500
30/06/2014,15.37,47776800
27/06/2014,15.33,58149200
26/06/2014,15.41,68519600
25/06/2014,15.47,71766400
24/06/2014,15.49,73262500
23/06/2014,15.64,58492200
20/06/2014,15.45,54765300
19/06/2014,15.55,40953900
18/06/2014,15.65,70220300
